HUGO_GeneName	EntrezID
RPL7AP17	100270897
LOC105375903	105375903
N4BP1	9683
RN7SL822P	106479521
TBX19	9095
RNU6-661P	106479859
HMGN1P31	728111
JMY	133746
RNU6-1082P	106480041
RPL3P4	326307
HMGB4	127540
RPLP1P13	100874124
ISLR2	57611
BMS1P22	106480334
MYH7	4625
SNORD63	26785
P4HA2-AS1	100861518
SNORA74A	26821
KC6	641516
DUS4L	11062
AKR1C2	1646
ADCY2	108
TMEM86B	255043
RGS20	8601
NTAN1P1	100420389
EIF3I	8668
TPO	7173
HMGB2	3148
FKBP4P6	100132268
FAM185A	222234
SLC15A5	729025
UBE2N	7334
LSM2	57819
OR51A3P	79532
PDE1C	5137
SNORD35B	84546
LINC01275	101927512
RNU1-151P	110806291
ABCA1	19
MYLK-AS1	100506826
CELF2-AS2	439950
RNU4-53P	106479582
NIF3L1	60491
ANKRD1	27063
H2BP3	391566
MCOLN2	255231
MMUT	4594
RPL21P86	100271190
VTA1	51534
MRPS25	64432
SIM2	6493
LINC02432	100507639
LOC100419615	100419615
ARHGAP23	57636
PON1	5444
LHX5	64211
ZCCHC17	51538
CSNK1G2-AS1	255193
CC2D2A	57545
RPSAP32	402123
GPR35	2859
PRG4	10216
MZT1	440145
PCDHGA2	56113
RNU6-302P	106479701
TULP2	7288
SNORA81	677847
KATNB1	10300
LINC02693	339263
DCDC1	341019
S100A12	6283
DLX6	1750
RPL26P11	730070
ZNF248	57209
CREM	1390
RPS18P3	100128258
RNU6-524P	106481346
RPL31P58	100271485
LINC02173	105377355
RASSF4	83937
ZDHHC6	64429
LOC100420096	100420096
CFHR2	3080
POU6F1	5463
CSPG4	1464
RPL21P14	729208
CALML5	51806
RNU1-47P	106480161
XKR6	286046
BNIP3P20	100421705
RPL10AP3	137107
SNORA23	677808
BIN3	55909
B3GNT4	79369
PLP1	5354
PAX5	5079
LOC100420930	100420930
PAGE2	203569
RTN2	6253
MUPP	100129193
LYZ	4069
XYLT2	64132
CASC16	643714
RPL5P20	100131913
LOC100131216	100131216
DDX21	9188
RN7SKP295	106480924
RNU6-621P	106481907
SH3BGR	6450
VAC14	55697
LINC02402	101927058
LINC00606	285370
C21orf91	54149
SAP30	8819
SPATA13-AS1	100874231
ISG20L2	81875
RN7SL445P	106481044
RN7SL45P	106481975
ZFYVE19	84936
KRT18P24	340460
RN7SKP157	106479165
RN7SL543P	106480378
RNU6-901P	106479965
STOX1	219736
NR2F1	7025
ZNF566	84924
KRTAP1-5	83895
MORF4L2	9643
NAA30	122830
LINC02167	400533
PTGS2	5743
LOC100131041	100131041
LINC01267	101927565
ZZEF1	23140
RNU6-283P	106479692
SPZ1	84654
CCDC90B	60492
OR8A2P	390273
SYNJ1	8867
RPL7AP65	100271543
ASNSP1	389652
LOC100422317	100422317
UBE2Z	65264
CICP25	100289383
GSTO3P	344813
CDK5RAP2	55755
CCDC167	154467
MMP8	4317
ZNF132	7691
NPPB	4879
LINC00680	106660612
LINC01030	101937451
LINC01944	105377728
FOCAD	54914
ICA1	3382
CYP3A52P	106478983
SLC5A10	125206
RPL10P16	284393
OSBPL5	114879
CDC14C	168448
RPL22P23	100289184
C11orf53	341032
RN7SL76P	106479251
MYCNOS	10408
WIF1	11197
FGFR4	2264
TRIM25	7706
LOC112267895	112267895
WDR36	134430
OR1J2	26740
ATP13A5	344905
MBOAT1	154141
LINC00254	64735
CRB3	92359
LINC01397	104355139
XPO4	64328
SEC14L3	266629
TMEM30A	55754
RPL6P28	100271208
RNU2-22P	106660611
ECHDC3	79746
VN1R60P	100312812
RFPL4AP1	646663
RPL7P1	6174
RNU6-1165P	106480079
ZGRF1	55345
CXorf38	159013
LINC00964	157381
SERPINE3	647174
AKR1B15	441282
C8orf76	84933
OR5BC1P	81208
DDR1	780
NDUFB4P1	100288654
NLRP4	147945
THRAP3P3	100421595
RNA5SP377	106479011
MBL1P	8512
RPS3AP41	100271595
LOC100129847	100129847
NPHP3-AS1	348808
CDH6	1004
SPI1	6688
LINC02864	400655
PGBD4	161779
RNU6-509P	106479792
ZNF780A	284323
ATOH7	220202
RNU6-808P	106481436
RPS25P7	100271103
PPARA	5465
SLC9A1	6548
RPSAP44	652411
ZNF425	155054
BPI	671
NBPF9	400818
ZNF778	197320
PRB2	653247
HNRNPKP3	399881
SCPEP1	59342
ZNF487	642819
GC	2638
ETFRF1	144363
HTR1F	3355
FBXO28	23219
PDIA3	2923
TTPAL	79183
UPF2	26019
NRK	203447
KRT18P39	344462
C12orf77	196415
LINC00583	100113404
SLPI	6590
ZNF295-AS1	150142
ELL2P3	100533713
ITGB3BP	23421
LOC730021	730021
RPS15AP32	100271649
TOR4A	54863
HAUS7	55559
MED1	5469
ENO1P3	100419069
CRH	1392
KLHL10	317719
BNIP3P11	106480286
LINC02088	105371582
LINC00559	100874187
CD164L2	388611
TIMP4	7079
LOC343052	343052
RBM12	10137
PDCD4	27250
LINC00838	100505583
RBM43	375287
LOC100419700	100419700
GS1-24F4.2	100652791
OR5A2	219981
TTLL1	25809
QRFP	347148
LINC00905	148231
CHD1	1105
LOC401957	401957
WDR90	197335
MAPK4	5596
PCAT2	103164619
RPL34P6	100270998
LOC100422267	100422267
NYAP2	57624
RPS14P1	100271063
RPL17P24	100271153
PRKAG3	53632
SDAD1	55153
TTTY3	114760
MTCO3P21	107075162
MARK2P14	100631261
SBNO2	22904
FCGRT	2217
IGDCC4	57722
HAUS5	23354
LINC01855	105372292
RNU1-32P	106480155
KDM4E	390245
ZFHX2	85446
MRPL40P1	645328
GPR166P	442206
RBM22P4	100271870
CBY3	646019
STXBP5-AS1	729178
ZNF622	90441
MYSM1	114803
ZNF736P10Y	100419727
ANXA3	306
RPL9P6	326311
SPDYE3	441272
TBC1D3P7	106480773
HS3ST3A1	9955
LOC105372233	105372233
CMSS1	84319
SZRD1	26099
PHACTR3	116154
GPSM2	29899
RN7SL473P	106479396
RNU6-586P	106480592
RBM46	166863
RNU6-998P	106481495
ADGRA3	166647
POLG	5428
ADAMTS7P4	642935
IGF1R	3480
SAYSD1	55776
F2RL2	2151
RNU5A-8P	100873838
FCF1P3	100128733
SLA	6503
PIH1D1	55011
UBTFL10	106480293
LOC100289091	100289091
LOC107986163	107986163
RPL38	6169
PRDM9	56979
LINC01514	101927396
RPL31P36	100271200
PTPN12	5782
TMPRSS9	360200
ADIPOR2	79602
TBC1D3B	414059
TAS2R63P	338413
SNORD114-2	767578
FGF10	2255
RHEB	6009
RASD2	23551
ZNF318	24149
LOC100420746	100420746
RPS4XP22	100131614
PINK1-AS	100861548
PRRT2	112476
RPS10-NUDT3	100529239
RNU7-126P	106479073
LOC780529	780529
RPL7P32	100130892
TONSL	4796
KRT8P5	342732
ZNF664	144348
SNORA70H	109616993
LINC00921	283876
IL10RA	3587
SF3A3P1	170548
TYK2	7297
GNAT2	2780
RNU4-80P	106480386
SNORA11D	100124541
LINC02162	105374624
CYP26C1	340665
ADCY10P1	221442
FATE1	89885
LINC01425	101927821
FAHD2B	151313
RN7SL430P	106481040
ADAM3A	1587
TIPIN	54962
LINC02458	728084
LOC100419812	100419812
RNU6-408P	106479746
PSMB5	5693
BDH1	622
RPL5P2	140749
ARNT	405
LOC101929162	101929162
TYW3	127253
LRIG1	26018
NR5A2	2494
NOTCH2	4853
CLBA1	122616
RECQL	5965
FN3KRP	79672
GCFC2	6936
LOC100419716	100419716
FXYD6	53826
RPSAP15	220885
MRPL10	124995
RPS26P31	645979
PAQR3	152559
DPYSL3	1809
CXCL8	3576
NCAPH2	29781
LINC01856	101927924
RPS2P5	100130562
FAM124A	220108
ANTXR2	118429
RNU2-53P	106480220
APBA2	321
MICOS10	440574
RNU6-1000P	106481496
SERPINI1	5274
UBE2J1	51465
KCNJ2-AS1	400617
EOMES	8320
TNFAIP8L3	388121
SPDEF	25803
VN1R65P	100128384
ELAPOR1	57535
SPATA24	202051
RN7SL823P	106479522
H3C7	8968
NTN5	126147
REM2	161253
LINC02501	105374565
MZT2B	80097
HMGB1P23	100873891
AJAP1	55966
IFNA16	3449
RNY4P34	106481712
MCL1	4170
RPS27P1	414228
VCAM1	7412
POPDC3	64208
APOH	350
RPL5P23	100270840
ACTL7A	10881
ULK1	8408
EXTL2	2135
RNA5SP462	100873706
PBX1	5087
LOC100506790	100506790
LAMTOR4	389541
FYTTD1	84248
A2ML1	144568
COL19A1	1310
PNMA6A	84968
RN7SL300P	106481004
TCTE1	202500
GNG4	2786
RNU6-564P	106479817
SLC35D3	340146
FCRL1	115350
HOXB-AS3	404266
INSIG1	3638
EP400	57634
NDST1-AS1	102546298
RNA5SP434	100873684
LINC01732	101928973
ADAMTSL4	54507
C19orf73	55150
SORBS2	8470
LINC01807	101928765
ZNF486	90649
LRRC72	100506049
DENND1A	57706
GBP5	115362
TRMT44	152992
RARRES1	5918
PRDM16-DT	440556
PRPH2	5961
CMA1	1215
KRTAP19-1	337882
LOC100505685	100505685
PSKH1	5681
CFB	629
ACTBP14	389976
C15orf32	145858
RRS1-AS1	100505676
RNU6-337P	106479716
ANAPC1	64682
LOC100289473	100289473
RNU6-390P	106479738
HSPA8P7	100420080
CDO1	1036
LOC100422641	100422641
PCDH11X	27328
ASGR1	432
TNPO3	23534
PIGO	84720
NDUFA3	4696
CTXND1	100996492
RN7SKP112	106479145
NCF1B	654816
RNU4-72P	106479591
RNU6-451P	106479765
RNA5SP113	100873383
NR6A1	2649
SNORA52	619565
RN7SKP123	106479149
CPT2	1376
H3P9	115482684
PI4K2A	55361
SNORD50B	692088
NREP	9315
MAFK	7975
C14orf93	60686
PLCD4	84812
KIF1B	23095
GPR6	2830
RNASET2	8635
RPS24	6229
LDHBP3	100129283
SIPA1	6494
MFN2	9927
RIPPLY3	53820
MTOR-AS1	100873935
RBMS2	5939
GCK	2645
LSAMP	4045
LINC01918	105373984
RPL9	6133
GPR171	29909
LINC01108	102216342
ABHD5	51099
LOC643172	643172
KRT24	192666
ZDHHC20P1	100048907
GCNT2	2651
AKAP17A	8227
LIMD2	80774
SNRNP35	11066
DCAF7	10238
PPIAP58	126170
RHOC	389
CDON	50937
SLC25A39	51629
SERP1	27230
CDS2	8760
PGM5P4-AS1	103344932
SACS-AS1	100506680
LRRC32	2615
LOC100420214	100420214
DCP2	167227
LOC401677	401677
RPL31P17	653773
SNORD93	692210
EHD4	30844
BPIFA1	51297
LINC01615	101929484
HBZ	3050
LOC102723883	102723883
ZNF227	7770
MRPL42P3	359746
RNU6-744P	106479895
KRT8P41	283102
RNU1-129P	106481630
OR8D1	283159
LINC00972	105375380
EIF3H	8667
ZMYND10	51364
CENPE	1062
EIF2AK2	5610
DPEP2NB	100131303
LRRIQ4	344657
LOC101928963	101928963
LOC100422614	100422614
PRICKLE3	4007
ENDOV	284131
KRT6A	3853
INTS4	92105
LOC101927793	101927793
BEND2	139105
RNA5SP112	100873382
SMIM23	644994
MINDY1	55793
XDH	7498
YAP1P1	442266
INKA1	389119
ZDHHC20	253832
RPS15AP18	100271360
CAPN2	824
SLC43A2	124935
ANKRD42	338699
IMP3P1	646087
LOC100422334	100422334
RN7SL531P	106479416
GPR68	8111
C9orf78	51759
NPM1P20	326608
TMEM232	642987
STATH	6779
BMP8A	353500
SMARCD1	6602
ABCC1	4363
LOC100310782	100310782
CNN2P6	339897
AHSG	197
PRX	57716
IL18BP	10068
STAT1	6772
GANC	2595
COQ8B	79934
RPL27P1	326299
NKAIN3	286183
ZC3H18	124245
RN7SKP196	106479182
ZNF500	26048
MTCYBP14	107075120
RPL34-DT	285456
MTATP6P7	106480798
TSC2	7249
C1orf87	127795
FAM181A-AS1	283592
STRIP1	85369
OR6L2P	81356
METTL22	79091
LOC101929148	101929148
LINC00552	100130386
OR5K1	26339
ZNF598	90850
HSPA1L	3305
RILP	83547
LOC100421087	100421087
CACNG2	10369
RPL11P1	100133170
LOC154761	154761
OR10A3	26496
ZNF532	55205
RN7SL752P	106481127
CDH11	1009
STRA6	64220
ATP2A3	489
ECE2	9718
XXYLT1-AS1	100874528
GPR45	11250
HCFC2	29915
DGUOK-AS1	100874048
ZNF700	90592
MAPK10-AS1	101929064
DUX4L31	100887073
CMTM3	123920
RNA5SP36	100873368
ACAD8	27034
NKX3-2	579
ADAMTS9-AS2	100507098
BSX	390259
ZNF528	84436
RIOK3P1	122145
LOC100507516	100507516
NEK2	4751
NOMO3	408050
MRPS36P5	347703
PCBP1	5093
CTHRC1	115908
TMEM260	54916
AOC2	314
TAF3	83860
LOC100132857	100132857
FMO8P	100129007
FOXD1	2297
RNA5SP458	106479016
RNU5E-8P	100873837
RNA5SP213	100873473
NCAPD2P1	100421175
ALDH3A1	218
MANBA	4126
C9orf16	79095
LOC100131080	100131080
SCN2B	6327
LINC01729	101929207
GLT1D1	144423
CRIP1	1396
LOC101928134	101928134
CASP4	837
LRRC41	10489
FZD6	8323
SYCE1L	100130958
ERICH6-AS1	101928085
POLR1D	51082
OR8X1P	403305
PIK3CDP1	391349
ATF6B	1388
RN7SKP117	106479147
RNF112	7732
RAN	5901
RN7SKP119	106481749
BCL7B	9275
PHGDH	26227
CELSR3	1951
LOC101927588	101927588
TENT5B	115572
LINC02056	102477328
MINCR	100507316
CCDC91	55297
RNU6-904P	106479966
LOC102030688	102030688
ANO4	121601
PRMT1	3276
EFHC1	114327
CRIP3	401262
PTS	5805
ABCF2	10061
PKD1L3	342372
FNBP4	23360
RPL18P8	100129670
SLC39A10	57181
H3C11	8354
FAM83H-AS1	100128338
RNU6-964P	106479992
TREML1	340205
DSTNP3	100287016
MYH15	22989
RAC2	5880
TNFAIP3	7128
SRFBP1	153443
CFL2	1073
EIF3EP4	100422200
SHISA4	149345
LOC283299	283299
LINC02293	102724890
LOC112268176	112268176
PLEKHM3	389072
ZFHX3	463
ZNF862	643641
RN7SKP282	106480919
PBK	55872
DACT1	51339
FAM71BP1	100421478
C12orf50	160419
RPS15AP21	100271357
SNORD115-33	100033807
XKRY	9082
ECE1	1889
CIZ1	25792
MAIP1	79568
RN7SL377P	106479360
PABPC4L	132430
CST8	10047
SNORD114-11	767589
ELOCP24	100287692
NSMCE1	197370
NUTM2A-AS1	728190
OR2L2	26246
ADAM7	8756
SLC30A7	148867
SLC36A1	206358
RPL21P9	283562
LINC02670	101928298
IFNWP19	3474
CCNB2P1	100132073
PRPF19	27339
PXDN	7837
RN7SKP192	106480892
ZNF23	7571
FMO5	2330
BTN2A3P	54718
MARVELD3	91862
TCERG1L-AS1	101927489
RNA5SP185	100873447
LINC02868	388667
C2orf76	130355
FOXL1	2300
CYP8B1	1582
ECM1	1893
RPL7L1P10	106480729
SCYL2	55681
RPS10P24	645299
TUBA1C	84790
SNORA74B	677841
CD96	10225
OARD1	221443
SSX5	6758
LY86	9450
LCAT	3931
LARP4B	23185
RNA5SP234	100873492
CHRNA5	1138
GASK1A	729085
ERVW-1	30816
RPS2P51	729679
SPNS1	83985
PSME2P5	338097
PSMC2P2	100422271
HLA-DRB6	3128
FUT7	2529
GPR50	9248
RPL21P54	100271168
RSPH10B2	728194
CORO1C	23603
TSSK6	83983
NRN1	51299
URM1	81605
SLC14A1	6563
AKR1C1	1645
RNU7-45P	100147832
RPL17P34	643863
MMP11	4320
NOC2LP1	643276
RNU6-593P	106479828
OR4G6P	81438
SHC4	399694
NDUFB5P2	100422431
RNU6-157P	106479636
NFASC	23114
APEX2	27301
NUDT19P4	100422452
TMEM214	54867
RPS19P1	85486
BPIFA3	128861
A2M-AS1	144571
RNY1P13	106480310
FALEC	100874054
RNA5SP216	100873476
OR52U1P	81243
RPL7AP51	100271533
SEPTIN4-AS1	101927688
RAB6D	150786
ZBTB33	10009
POMT1	10585
LINC01740	101929565
RNU6-851P	106479942
OR5W2	390148
MAP3K3	4215
CCDC85A	114800
TIMM50	92609
RNU6-206P	106481882
OR4F7P	81390
OR8T1P	282791
NPNT	255743
TMEM164	84187
SOCS5P3	100127945
HBAP1	3041
INSRR	3645
TP53INP1	94241
CREB3L3	84699
RPL36P8	643205
BMP7	655
RNU6-881P	106479956
PRSS37	136242
DNAJA1P2	100131207
GIMAP3P	474345
GPC5-AS1	100873969
MTATP8P2	106479042
RN7SL612P	106479445
RAD54L2P1	100420273
MAGEA2B	266740
GLULP1	2753
C3orf35	339883
ACAP1	9744
SRXN1	140809
RN7SKP262	106479212
METTL14-DT	101929741
OR2L5	81466
PGLYRP4	57115
RBM4	5936
DENND2C	163259
MYO9B	4650
ZC3H4	23211
CBARP	255057
MOB1A	55233
ZFP28	140612
P3H3	10536
RNY1P9	100874358
RN7SL492P	106479402
RN7SL280P	106480498
LOC100132762	100132762
ANKRD61	100310846
MUC1	4582
SPINT5P	140863
FBLN7	129804
EPB41L4B	54566
RPL31P19	100270985
ACE2	59272
LRPAP1	4043
SP6	80320
PTPRCAP	5790
IL9	3578
FAM184A	79632
BRCA2	675
MSL3P1	151507
VIPR1	7433
P2RY12	64805
SPTSSA	171546
RASSF2	9770
AGO4	192670
SAAL1	113174
SETD7	80854
MEF2B	100271849
CNIH2	254263
FURIN	5045
RPL34P27	651249
FPR3	2359
BCS1L	617
SLBP	7884
GNL3	26354
NBPF25P	101929780
